irritable mood;hallucinations auditory|worry|0.80
hallucinations auditory;worry|irritable mood|0.89
irritable mood;worry|hallucinations auditory|1.00
sleeplessness;hallucinations auditory|suicidal|0.87
suicidal;sleeplessness|hallucinations auditory|1.00
sleeplessness;hallucinations auditory|weepiness|0.87
weepiness;hallucinations auditory|sleeplessness|1.00
sleeplessness;weepiness|hallucinations auditory|1.00
sleeplessness;hallucinations auditory|worry|0.87
hallucinations auditory;worry|sleeplessness|0.78
sleeplessness;worry|hallucinations auditory|1.00
suicidal;hallucinations auditory|worry|0.73
hallucinations auditory;worry|suicidal|0.89
suicidal;worry|hallucinations auditory|1.00
weepiness;hallucinations auditory|worry|1.00
hallucinations auditory;worry|weepiness|0.78
weepiness;worry|hallucinations auditory|1.00
sleeplessness;irritable mood|suicidal|0.87
suicidal;irritable mood|sleeplessness|0.78
suicidal;sleeplessness|irritable mood|1.00
sleeplessness;irritable mood|weepiness|0.87
weepiness;irritable mood|sleeplessness|1.00
sleeplessness;weepiness|irritable mood|1.00
sleeplessness;irritable mood|worry|0.87
irritable mood;worry|sleeplessness|0.87
sleeplessness;worry|irritable mood|1.00
suicidal;irritable mood|worry|0.78
irritable mood;worry|suicidal|0.87
suicidal;worry|irritable mood|0.87
weepiness;irritable mood|worry|1.00
irritable mood;worry|weepiness|0.87
weepiness;worry|irritable mood|1.00
orthopnea;jugular venous distention|shortness of breath|1.00
shortness of breath;jugular venous distention|orthopnea|1.00
nausea;pain|pain abdominal|0.82
sore to touch;nausea|pain abdominal|0.87
sore to touch;pain abdominal|nausea|0.78
vomiting;nausea|pain abdominal|0.71
vomiting;pain abdominal|nausea|0.77
orthopnea;rale|shortness of breath|1.00
thicken;pain|pain abdominal|0.70
pain abdominal;thicken|pain|0.78
pain chest;sweat|shortness of breath|0.90
shortness of breath;sweat|pain chest|0.90
pain chest;sweating increased|shortness of breath|0.90
shortness of breath;sweating increased|pain chest|0.90
pain chest;sweat|sweating increased|1.00
pain chest;sweating increased|sweat|1.00
sweating increased;sweat|pain chest|0.91
shortness of breath;sweat|sweating increased|1.00
shortness of breath;sweating increased|sweat|1.00
sweating increased;sweat|shortness of breath|0.91
sleeplessness;weepiness|worry|1.00
sleeplessness;worry|weepiness|1.00
weepiness;worry|sleeplessness|1.00
blackout;hallucinations auditory;agitation|irritable mood|1.00
blackout;irritable mood;agitation|hallucinations auditory|1.00
irritable mood;hallucinations auditory;agitation|blackout|0.78
blackout;irritable mood;hallucinations auditory|agitation|1.00
blackout;hallucinations auditory;agitation|suicidal|1.00
blackout;suicidal;agitation|hallucinations auditory|1.00
suicidal;hallucinations auditory;agitation|blackout|0.87
blackout;suicidal;hallucinations auditory|agitation|1.00
blackout;irritable mood;agitation|suicidal|1.00
blackout;suicidal;agitation|irritable mood|1.00
suicidal;irritable mood;agitation|blackout|0.87
blackout;suicidal;irritable mood|agitation|1.00
irritable mood;hallucinations auditory;agitation|sleeplessness|0.78
sleeplessness;hallucinations auditory;agitation|irritable mood|1.00
sleeplessness;irritable mood;agitation|hallucinations auditory|1.00
sleeplessness;irritable mood;hallucinations auditory|agitation|0.87
irritable mood;hallucinations auditory;agitation|suicidal|0.89
suicidal;hallucinations auditory;agitation|irritable mood|1.00
suicidal;irritable mood;agitation|hallucinations auditory|1.00
suicidal;irritable mood;hallucinations auditory|agitation|0.89
irritable mood;hallucinations auditory;agitation|weepiness|0.78
weepiness;hallucinations auditory;agitation|irritable mood|1.00
weepiness;irritable mood;agitation|hallucinations auditory|1.00
weepiness;irritable mood;hallucinations auditory|agitation|1.00
irritable mood;hallucinations auditory;agitation|worry|0.89
hallucinations auditory;agitation;worry|irritable mood|1.00
irritable mood;agitation;worry|hallucinations auditory|1.00
irritable mood;hallucinations auditory;worry|agitation|1.00
sleeplessness;hallucinations auditory;agitation|weepiness|1.00
weepiness;hallucinations auditory;agitation|sleeplessness|1.00
sleeplessness;weepiness;agitation|hallucinations auditory|1.00
weepiness;sleeplessness;hallucinations auditory|agitation|1.00
sleeplessness;hallucinations auditory;agitation|worry|1.00
hallucinations auditory;agitation;worry|sleeplessness|0.87
sleeplessness;agitation;worry|hallucinations auditory|1.00
sleeplessness;hallucinations auditory;worry|agitation|1.00
suicidal;hallucinations auditory;agitation|worry|0.87
hallucinations auditory;agitation;worry|suicidal|0.87
suicidal;agitation;worry|hallucinations auditory|1.00
suicidal;hallucinations auditory;worry|agitation|0.87
weepiness;hallucinations auditory;agitation|worry|1.00
hallucinations auditory;agitation;worry|weepiness|0.87
weepiness;agitation;worry|hallucinations auditory|1.00
weepiness;hallucinations auditory;worry|agitation|1.00
sleeplessness;irritable mood;agitation|weepiness|1.00
weepiness;irritable mood;agitation|sleeplessness|1.00
sleeplessness;weepiness;agitation|irritable mood|1.00
weepiness;sleeplessness;irritable mood|agitation|1.00
sleeplessness;irritable mood;agitation|worry|1.00
irritable mood;agitation;worry|sleeplessness|0.87
sleeplessness;agitation;worry|irritable mood|1.00
sleeplessness;irritable mood;worry|agitation|1.00
suicidal;irritable mood;agitation|worry|0.87
irritable mood;agitation;worry|suicidal|0.87
suicidal;agitation;worry|irritable mood|1.00
suicidal;irritable mood;worry|agitation|1.00
weepiness;irritable mood;agitation|worry|1.00
irritable mood;agitation;worry|weepiness|0.87
weepiness;agitation;worry|irritable mood|1.00
weepiness;irritable mood;worry|agitation|1.00
sleeplessness;weepiness;agitation|worry|1.00
sleeplessness;agitation;worry|weepiness|1.00
weepiness;agitation;worry|sleeplessness|1.00
sleeplessness;weepiness;worry|agitation|1.00
blackout;irritable mood;hallucinations auditory|suicidal|1.00
blackout;suicidal;hallucinations auditory|irritable mood|1.00
blackout;suicidal;irritable mood|hallucinations auditory|1.00
suicidal;irritable mood;hallucinations auditory|blackout|0.78
feeling hopeless;irritable mood;hallucinations auditory|sleeplessness|1.00
feeling hopeless;sleeplessness;hallucinations auditory|irritable mood|1.00
feeling hopeless;sleeplessness;irritable mood|hallucinations auditory|1.00
sleeplessness;irritable mood;hallucinations auditory|feeling hopeless|0.87
sleeplessness;irritable mood;hallucinations auditory|suicidal|0.87
suicidal;irritable mood;hallucinations auditory|sleeplessness|0.78
suicidal;sleeplessness;hallucinations auditory|irritable mood|1.00
suicidal;sleeplessness;irritable mood|hallucinations auditory|1.00
sleeplessness;irritable mood;hallucinations auditory|weepiness|0.87
weepiness;irritable mood;hallucinations auditory|sleeplessness|1.00
weepiness;sleeplessness;hallucinations auditory|irritable mood|1.00
weepiness;sleeplessness;irritable mood|hallucinations auditory|1.00
sleeplessness;irritable mood;hallucinations auditory|worry|0.87
irritable mood;hallucinations auditory;worry|sleeplessness|0.87
sleeplessness;hallucinations auditory;worry|irritable mood|1.00
sleeplessness;irritable mood;worry|hallucinations auditory|1.00
suicidal;irritable mood;hallucinations auditory|worry|0.78
irritable mood;hallucinations auditory;worry|suicidal|0.87
suicidal;hallucinations auditory;worry|irritable mood|0.87
suicidal;irritable mood;worry|hallucinations auditory|1.00
weepiness;irritable mood;hallucinations auditory|worry|1.00
irritable mood;hallucinations auditory;worry|weepiness|0.87
weepiness;hallucinations auditory;worry|irritable mood|1.00
weepiness;irritable mood;worry|hallucinations auditory|1.00
weepiness;sleeplessness;hallucinations auditory|worry|1.00
sleeplessness;hallucinations auditory;worry|weepiness|1.00
weepiness;hallucinations auditory;worry|sleeplessness|1.00
sleeplessness;weepiness;worry|hallucinations auditory|1.00
weepiness;sleeplessness;irritable mood|worry|1.00
sleeplessness;irritable mood;worry|weepiness|1.00
weepiness;irritable mood;worry|sleeplessness|1.00
sleeplessness;weepiness;worry|irritable mood|1.00
shortness of breath;pain chest;sweat|sweating increased|1.00
shortness of breath;pain chest;sweating increased|sweat|1.00
pain chest;sweating increased;sweat|shortness of breath|0.90
shortness of breath;sweating increased;sweat|pain chest|0.90
blackout;irritable mood;hallucinations auditory;agitation|suicidal|1.00
blackout;suicidal;hallucinations auditory;agitation|irritable mood|1.00
blackout;suicidal;irritable mood;agitation|hallucinations auditory|1.00
suicidal;irritable mood;hallucinations auditory;agitation|blackout|0.87
blackout;irritable mood;hallucinations auditory;suicidal|agitation|1.00
sleeplessness;irritable mood;hallucinations auditory;agitation|weepiness|1.00
weepiness;irritable mood;hallucinations auditory;agitation|sleeplessness|1.00
weepiness;sleeplessness;hallucinations auditory;agitation|irritable mood|1.00
weepiness;sleeplessness;irritable mood;agitation|hallucinations auditory|1.00
sleeplessness;weepiness;irritable mood;hallucinations auditory|agitation|1.00
sleeplessness;irritable mood;hallucinations auditory;agitation|worry|1.00
irritable mood;hallucinations auditory;agitation;worry|sleeplessness|0.87
sleeplessness;hallucinations auditory;agitation;worry|irritable mood|1.00
sleeplessness;irritable mood;agitation;worry|hallucinations auditory|1.00
sleeplessness;irritable mood;hallucinations auditory;worry|agitation|1.00
suicidal;irritable mood;hallucinations auditory;agitation|worry|0.87
irritable mood;hallucinations auditory;agitation;worry|suicidal|0.87
suicidal;hallucinations auditory;agitation;worry|irritable mood|1.00
suicidal;irritable mood;agitation;worry|hallucinations auditory|1.00
suicidal;irritable mood;hallucinations auditory;worry|agitation|1.00
weepiness;irritable mood;hallucinations auditory;agitation|worry|1.00
irritable mood;hallucinations auditory;agitation;worry|weepiness|0.87
weepiness;hallucinations auditory;agitation;worry|irritable mood|1.00
weepiness;irritable mood;agitation;worry|hallucinations auditory|1.00
weepiness;irritable mood;hallucinations auditory;worry|agitation|1.00
weepiness;sleeplessness;hallucinations auditory;agitation|worry|1.00
sleeplessness;hallucinations auditory;agitation;worry|weepiness|1.00
weepiness;hallucinations auditory;agitation;worry|sleeplessness|1.00
sleeplessness;weepiness;agitation;worry|hallucinations auditory|1.00
weepiness;sleeplessness;hallucinations auditory;worry|agitation|1.00
weepiness;sleeplessness;irritable mood;agitation|worry|1.00
sleeplessness;irritable mood;agitation;worry|weepiness|1.00
weepiness;irritable mood;agitation;worry|sleeplessness|1.00
sleeplessness;weepiness;agitation;worry|irritable mood|1.00
weepiness;sleeplessness;irritable mood;worry|agitation|1.00
sleeplessness;weepiness;irritable mood;hallucinations auditory|worry|1.00
sleeplessness;irritable mood;hallucinations auditory;worry|weepiness|1.00
weepiness;irritable mood;hallucinations auditory;worry|sleeplessness|1.00
weepiness;sleeplessness;hallucinations auditory;worry|irritable mood|1.00
weepiness;sleeplessness;irritable mood;worry|hallucinations auditory|1.00
sleeplessness;weepiness;irritable mood;hallucinations auditory;agitation|worry|1.00
sleeplessness;irritable mood;hallucinations auditory;agitation;worry|weepiness|1.00
weepiness;irritable mood;hallucinations auditory;agitation;worry|sleeplessness|1.00
weepiness;sleeplessness;hallucinations auditory;agitation;worry|irritable mood|1.00
weepiness;sleeplessness;irritable mood;agitation;worry|hallucinations auditory|1.00
sleeplessness;weepiness;irritable mood;hallucinations auditory;worry|agitation|1.00
