symptom_name;disease_common_name
bipolar disorder;motor retardation
bipolar disorder;homelessness
bipolar disorder;blackout
bipolar disorder;tremor
bipolar disorder;exhaustion
hypoglycemia;unresponsiveness
hypoglycemia;hypothermia, natural
hypoglycemia;incoherent
hypoglycemia;qt interval prolonged
hypoglycemia;lameness
hypoglycemia;claudication
hypoglycemia;unconscious state
hypoglycemia;clammy skin
hypoglycemia;polyuria
hypoglycemia;distress respiratory
hypoglycemia;hypotension
hepatitis c;ascites
hepatitis c;distended abdomen
hepatitis c;feeling suicidal
hepatitis c;cough
hepatitis c;ache
hepatitis c;macerated skin
hepatitis c;heavy feeling
hepatitis c;hallucinations auditory
hepatitis c;chill
hepatitis c;asterixis
hepatitis c;patient non compliance
malignant tumor of colon;lesion
malignant tumor of colon;prostatism
malignant tumor of colon;constipation
malignant tumor of colon;general discomfort
malignant tumor of colon;diarrhea
malignant tumor of colon;pain abdominal
malignant tumor of colon;urinary hesitation
malignant tumor of colon;dizzy spells
malignant tumor of colon;shooting pain
malignant tumor of colon;bradycardia
malignant tumor of colon;vomiting
malignant tumor of colon;systolic ejection murmur
malignant tumor of colon;nausea
malignant tumor of colon;hyperemesis
malignant tumor of colon;polydypsia
deglutition disorder;paresthesia
deglutition disorder;titubation
deglutition disorder;dysarthria
deglutition disorder;painful swallowing
deglutition disorder;hoarseness
deglutition disorder;stridor
deglutition disorder;spasm
deglutition disorder;asthenia
deglutition disorder;dysdiadochokinesia
deglutition disorder;ataxia
deglutition disorder;achalasia
deglutition disorder;decreased body weight
deglutition disorder;stiffness
deglutition disorder;lesion
deglutition disorder;side pain
biliary calculus;vomiting
biliary calculus;nausea
biliary calculus;pain abdominal
biliary calculus;pain
biliary calculus;cushingoid facies
biliary calculus;cushingoidã¯â¿â½habitus
biliary calculus;ascites
biliary calculus;thicken
biliary calculus;sore to touch
biliary calculus;diarrhea
biliary calculus;apyrexial
biliary calculus;palpitation
primary malignant neoplasm;pain
primary malignant neoplasm;mass of body structure
primary malignant neoplasm;lesion
primary malignant neoplasm;cushingoid facies
primary malignant neoplasm;cushingoidã¯â¿â½habitus
primary malignant neoplasm;emphysematous change
primary malignant neoplasm;decreased body weight
primary malignant neoplasm;ascites
primary malignant neoplasm;hoarseness
primary malignant neoplasm;thicken
primary malignant neoplasm;hematuria
lymphoma;lesion
lymphoma;fever
lymphoma;welt
lymphoma;transaminitis
lymphoma;decreased body weight
lymphoma;ataxia
lymphoma;tinnitus
lymphoma;hydropneumothorax
lymphoma;superimposition
lymphoma;haemoptysis
lymphoma;fatigue
lymphoma;tired
lymphoma;polydypsia
lymphoma;difficulty passing urine
confusion;seizure
confusion;enuresis
confusion;lethargy
confusion;speech slurred
confusion;fall
confusion;consciousness clear
confusion;mental status changes
confusion;asterixis
confusion;unconscious state
confusion;agitation
confusion;muscle twitch
confusion;asthenia
confusion;sleepy
confusion;dizziness
confusion;headache
confusion;dysarthria
confusion;lightheadedness
confusion;tremor
confusion;hyponatremia
confusion;unresponsiveness
obesity morbid;out of breath
obesity morbid;sedentary
obesity morbid;angina pectoris
obesity morbid;cough
obesity morbid;unhappy
obesity morbid;labored breathing
obesity morbid;hypothermia, natural
obesity morbid;dyspnea
obesity morbid;hematocrit decreased
obesity morbid;wheezing
obesity morbid;hypoxemia
obesity morbid;renal angle tenderness
obesity morbid;feels hot/feverish
arthritis;pain
arthritis;hemodynamically stable
arthritis;sleeplessness
arthritis;asthenia
arthritis;syncope
arthritis;swelling
arthritis;atypia
arthritis;general unsteadiness
arthritis;shortness of breath
arthritis;distended abdomen
accidentã¯â¿â½cerebrovascular;dysarthria
accidentã¯â¿â½cerebrovascular;asthenia
accidentã¯â¿â½cerebrovascular;speech slurred
accidentã¯â¿â½cerebrovascular;facial paresis
accidentã¯â¿â½cerebrovascular;hemiplegia
accidentã¯â¿â½cerebrovascular;unresponsiveness
accidentã¯â¿â½cerebrovascular;seizure
accidentã¯â¿â½cerebrovascular;numbness
mitral valve insufficiency;shortness of breath
mitral valve insufficiency;dyspnea on exertion
mitral valve insufficiency;asymptomatic
mitral valve insufficiency;hypokinesia
mitral valve insufficiency;dyspnea
mitral valve insufficiency;syncope
mitral valve insufficiency;thicken
mitral valve insufficiency;leftã¯â¿â½atrialã¯â¿â½hypertrophy
mitral valve insufficiency;palpitation
mitral valve insufficiency;fatigue
mitral valve insufficiency;vomiting
mitral valve insufficiency;pain
mitral valve insufficiency;cardiomegaly
mitral valve insufficiency;chest discomfort
edema pulmonary;urgency ofã¯â¿â½micturition
edema pulmonary;shortness of breath
edema pulmonary;rale
edema pulmonary;tachypnea
edema pulmonary;orthopnea
edema pulmonary;heberden's node
edema pulmonary;jugular venous distention
edema pulmonary;dyspnea
edema pulmonary;sweat
edema pulmonary;sweating increased
edema pulmonary;patient non compliance
edema pulmonary;chest discomfort
edema pulmonary;hyperkalemia
edema pulmonary;sinus rhythm
edema pulmonary;pain chest
edema pulmonary;hypotension
edema pulmonary;wheezing
malignant neoplasms;pain
malignant neoplasms;mass of body structure
malignant neoplasms;lesion
malignant neoplasms;cushingoid facies
malignant neoplasms;cushingoidã¯â¿â½habitus
malignant neoplasms;emphysematous change
malignant neoplasms;decreased body weight
malignant neoplasms;ascites
malignant neoplasms;hoarseness
malignant neoplasms;thicken
malignant neoplasms;hematuria
hyperglycemia;sore to touch
hyperglycemia;pruritus
hyperglycemia;feeling strange
hyperglycemia;pustule
hyperglycemia;cushingoid facies
hyperglycemia;cushingoidã¯â¿â½habitus
hyperglycemia;decreased body weight
hyperglycemia;mood depressed
hyperglycemia;estrogen use
hyperglycemia;wheezing
hyperglycemia;ascites
hyperglycemia;seizure
epilepsy;seizure
epilepsy;hypometabolism
epilepsy;aura
epilepsy;muscle twitch
epilepsy;drowsiness
epilepsy;tremor
epilepsy;unresponsiveness
epilepsy;hemiplegia
epilepsy;myoclonus
epilepsy;gurgle
epilepsy;sleepy
epilepsy;lethargy
epilepsy;wheelchair bound
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;yellow sputum
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;cachexia
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;chill
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;decreased body weight
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;productive cough
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;myalgia
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;diarrhea
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;neck stiffness
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;hacking cough
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;dyspareunia
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;hypokalemia
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;dyspnea on exertion
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;poor dentition
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;transaminitis
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;non-productive cough
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;headache
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;floppy
pneumocystisã¯â¿â½cariniiã¯â¿â½pneumonia;spontaneous rupture of membranes
pneumonia aspiration;mediastinal shift
pneumonia aspiration;fever
pneumonia aspiration;clonus
pneumonia aspiration;mental status changes
pneumonia aspiration;decreased translucency
pneumonia aspiration;unresponsiveness
pneumonia aspiration;extreme exhaustion
pneumonia aspiration;stupor
pneumonia aspiration;seizure
pneumonia aspiration;transaminitis
pneumonia aspiration;hemiplegia
pneumonia aspiration;cough
pneumonia aspiration;gurgle
pneumonia aspiration;pain
pneumonia aspiration;diarrhea
pneumonia aspiration;pain abdominal
coronary arteriosclerosis;pain chest
coronary arteriosclerosis;angina pectoris
coronary arteriosclerosis;shortness of breath
coronary arteriosclerosis;hypokinesia
coronary arteriosclerosis;sweat
coronary arteriosclerosis;sweating increased
coronary arteriosclerosis;pressure chest
coronary arteriosclerosis;dyspnea on exertion
coronary arteriosclerosis;orthopnea
coronary arteriosclerosis;chest tightness
infection urinary tract;fever
infection urinary tract;dysuria
infection urinary tract;hematuria
infection urinary tract;renal angle tenderness
infection urinary tract;lethargy
infection urinary tract;asthenia
infection urinary tract;hyponatremia
infection urinary tract;hemodynamically stable
infection urinary tract;distress respiratory
infection urinary tract;difficulty passing urine
infection urinary tract;mental status changes
infection urinary tract;consciousness clear
neuropathy;asthenia
neuropathy;numbness
neuropathy;nausea and vomiting
neuropathy;awakening early
neuropathy;hydropneumothorax
neuropathy;superimposition
neuropathy;fatigability
neuropathy;tenesmus
neuropathy;pain
neuropathy;slowing of urinary stream
thrombocytopaenia;ecchymosis
thrombocytopaenia;monocytosis
thrombocytopaenia;posteriorã¯â¿â½rhinorrhea
thrombocytopaenia;haemorrhage
thrombocytopaenia;tachypnea
thrombocytopaenia;fever
thrombocytopaenia;pruritus
thrombocytopaenia;hypotension
thrombocytopaenia;fatigue
adenocarcinoma;mass of body structure
adenocarcinoma;lesion
adenocarcinoma;decreased body weight
adenocarcinoma;constipation
adenocarcinoma;fremitus
adenocarcinoma;decreased stool caliber
adenocarcinoma;satiety early
adenocarcinoma;hematochezia
adenocarcinoma;egophony
adenocarcinoma;pain
adenocarcinoma;cicatrisation
adenocarcinoma;scar tissue
adenocarcinoma;pain abdominal
incontinence;paraparesis
incontinence;seizure
incontinence;asthenia
incontinence;urge incontinence
incontinence;unconscious state
incontinence;aura
incontinence;moody
incontinence;fear of falling
incontinence;tremor
incontinence;spasm
incontinence;unhappy
incontinence;syncope
incontinence;fall
incontinence;stiffness
incontinence;unresponsiveness
systemic infection;fever
systemic infection;distress respiratory
systemic infection;hypotension
systemic infection;tachypnea
systemic infection;chill
systemic infection;lethargy
systemic infection;bradycardia
systemic infection;breech presentation
systemic infection;cyanosis
systemic infection;spontaneous rupture of membranes
systemic infection;haemorrhage
systemic infection;unresponsiveness
systemic infection;rale
systemic infection;apyrexial
ileus;abscess bacterial
ileus;abdomen acute
ileus;air fluid level
ileus;catching breath
ileus;abdominal tenderness
ileus;nausea
ileus;sore to touch
ileus;flatulence
ileus;diarrhea
ileus;mass of body structure
ileus;apyrexial
ileus;constipation
ileus;thicken
ileus;gravida 0
ileus;pain abdominal
bronchitis;cough
bronchitis;wheezing
bronchitis;shortness of breath
bronchitis;chest tightness
bronchitis;fever
bronchitis;throat sore
bronchitis;productive cough
bronchitis;hepatosplenomegaly
bronchitis;night sweat
bronchitis;haemoptysis
bronchitis;labored breathing
bronchitis;snuffle
bronchitis;hacking cough
bronchitis;dyspnea
bronchitis;chill
bronchitis;stridor
bronchitis;decreased body weight
hiv infections;fever
hiv infections;night sweat
hiv infections;spontaneous rupture of membranes
hiv infections;cough
hiv infections;
hiv infections;decreased body weight
hiv infections;chill
hiv infections;diarrhea
hiv infections;pleuritic pain
hiv infections;patient non compliance
hiv infections;tachypnea
hiv infections;productive cough
hiv infections;muscle hypotonia
hiv infections;hypotonic
hiv infections;feeling suicidal
paroxysmalã¯â¿â½dyspnea;orthopnea
paroxysmalã¯â¿â½dyspnea;shortness of breath
paroxysmalã¯â¿â½dyspnea;dyspnea on exertion
paroxysmalã¯â¿â½dyspnea;jugular venous distention
paroxysmalã¯â¿â½dyspnea;rale
paroxysmalã¯â¿â½dyspnea;pain chest
paroxysmalã¯â¿â½dyspnea;palpitation
paroxysmalã¯â¿â½dyspnea;sweat
paroxysmalã¯â¿â½dyspnea;sweating increased
paroxysmalã¯â¿â½dyspnea;weight gain
paroxysmalã¯â¿â½dyspnea;cough
paroxysmalã¯â¿â½dyspnea;dyspnea
chronic alcoholic intoxication;tremor
chronic alcoholic intoxication;hallucinations auditory
chronic alcoholic intoxication;suicidal
chronic alcoholic intoxication;hoard
chronic alcoholic intoxication;irritable mood
chronic alcoholic intoxication;feeling hopeless
chronic alcoholic intoxication;feeling suicidal
chronic alcoholic intoxication;neologism
chronic alcoholic intoxication;seizure
chronic alcoholic intoxication;homelessness
chronic alcoholic intoxication;sleeplessness
chronic alcoholic intoxication;unconscious state
chronic alcoholic intoxication;panic
chronic alcoholic intoxication;breath sounds decreased
chronic alcoholic intoxication;shortness of breath
tonic-clonic seizures;drowsiness
tonic-clonic seizures;lip smacking
tonic-clonic seizures;myoclonus
tonic-clonic seizures;tremor
tonic-clonic seizures;phonophobia
tonic-clonic seizures;rolling of eyes
tonic-clonic seizures;sleepy
tonic-clonic seizures;hirsutism
tonic-clonic seizures;moody
tonic-clonic seizures;muscle twitch
tonic-clonic seizures;unresponsiveness
tonic-clonic seizures;headache
tonic-clonic seizures;ambidexterity
tonic-clonic seizures;absences finding
tonic-clonic seizures;spasm
tonic-clonic seizures;decreased body weight
tonic-clonic seizures;tumor cell invasion
diverticulosis;fecaluria
diverticulosis;constipation
diverticulosis;abscess bacterial
diverticulosis;heme positive
diverticulosis;lightheadedness
diverticulosis;diarrhea
diverticulosis;haemorrhage
diverticulosis;pain
diverticulosis;projectile vomiting
diverticulosis;pneumatouria
diverticulosis;cystic lesion
diverticulosis;anorexia
diverticulosis;nausea
diverticulosis;feeling suicidal
diverticulosis;feeling hopeless
ulcer peptic;pain abdominal
ulcer peptic;paraparesis
ulcer peptic;nausea
ulcer peptic;vomiting
ulcer peptic;polymyalgia
ulcer peptic;out of breath
ulcer peptic;pain chest
ulcer peptic;hemiplegia
ulcer peptic;gurgle
ulcer peptic;hunger
ulcer peptic;apyrexial
ulcer peptic;nervousness
hemiparesis;dysarthria
hemiparesis;paresis
hemiparesis;asthenia
hemiparesis;aphagia
hemiparesis;seizure
hemiparesis;speech slurred
hemiparesis;focal seizures
hemiparesis;hemiplegia
hemiparesis;abnormal sensation
hemiparesis;unresponsiveness
hemiparesis;stupor
hemiparesis;drowsiness
hemiparesis;sleepy
hemiparesis;fremitus
hemiparesis;stahli's line
hemiparesis;stinging sensation
hemiparesis;paralyse
hemiparesis;clonus
hemiparesis;facial paresis
gout;hot flush
gout;pain
gout;redness
gout;swelling
gout;erythema
gout;emphysematous change
gout;sore to touch
gout;hypokinesia
gout;ascites
gout;patient non compliance
neutropenia;transaminitis
neutropenia;splenomegaly
neutropenia;night sweat
neutropenia;apyrexial
neutropenia;lesion
neutropenia;snuffle
neutropenia;chill
neutropenia;cough
neutropenia;monoclonal
neutropenia;hypocalcemia result
neutropenia;oliguria
neutropenia;rhd positive
neutropenia;distress respiratory
carcinoma;mass of body structure
carcinoma;pain
carcinoma;lesion
carcinoma;tumor cell invasion
carcinoma;thicken
carcinoma;decreased body weight
carcinoma;hoarseness
carcinoma;general discomfort
carcinoma;metastatic lesion
carcinoma;non-productive cough
carcinoma;constipation
carcinoma;unhappy
carcinoma;paresthesia
carcinoma;gravida 0
carcinoma;diarrhea
carcinoma;sore to touch
carcinoma;heartburn
carcinoma;nausea
carcinoma;lung nodule
hypertensive disease;pain chest
hypertensive disease;shortness of breath
hypertensive disease;dizziness
hypertensive disease;asthenia
hypertensive disease;fall
hypertensive disease;syncope
hypertensive disease;vertigo
hypertensive disease;sweat
hypertensive disease;sweating increased
hypertensive disease;palpitation
hypertensive disease;nausea
hypertensive disease;angina pectoris
hypertensive disease;pressure chest
hypertension pulmonary;shortness of breath
hypertension pulmonary;stahli's line
hypertension pulmonary;heavy legs
hypertension pulmonary;breath sounds decreased
hypertension pulmonary;neck stiffness
hypertension pulmonary;dyspnea on exertion
hypertension pulmonary;cyanosis
hypertension pulmonary;hypotension
hypertension pulmonary;leftã¯â¿â½atrialã¯â¿â½hypertrophy
alzheimer's disease;drool
alzheimer's disease;agitation
alzheimer's disease;nightmare
alzheimer's disease;rhonchus
alzheimer's disease;consciousness clear
alzheimer's disease;pin-point pupils
alzheimer's disease;bedridden
alzheimer's disease;frail
alzheimer's disease;tremor resting
alzheimer's disease;hyperkalemia
alzheimer's disease;facial paresis
alzheimer's disease;groggy
alzheimer's disease;muscle twitch
alzheimer's disease;wheelchair bound
alzheimer's disease;tremor
alzheimer's disease;cough
alzheimer's disease;fever
tricuspid valve insufficiency;shortness of breath
tricuspid valve insufficiency;pain
tricuspid valve insufficiency;vomiting
tricuspid valve insufficiency;nausea
tricuspid valve insufficiency;bradycardia
tricuspid valve insufficiency;pain abdominal
tricuspid valve insufficiency;fever
tricuspid valve insufficiency;cicatrisation
tricuspid valve insufficiency;mediastinal shift
tricuspid valve insufficiency;impaired cognition
carcinoma prostate;hematuria
carcinoma prostate;dysesthesia
carcinoma prostate;asthenia
carcinoma prostate;polymyalgia
carcinoma prostate;passed stones
carcinoma prostate;pleuritic pain
carcinoma prostate;guaiac positive
carcinoma prostate;rale
carcinoma prostate;breath sounds decreased
carcinoma prostate;urge incontinence
carcinoma prostate;dysuria
carcinoma prostate;diarrhea
carcinoma prostate;vertigo
carcinoma prostate;qt interval prolonged
carcinoma prostate;ataxia
carcinoma prostate;paresis
carcinoma prostate;hemianopsia homonymous
carcinoma prostate;tumor cell invasion
carcinoma prostate;hemodynamically stable
carcinoma prostate;mass of body structure
carcinoma prostate;rhonchus
carcinoma prostate;orthostasis
carcinoma prostate;decreased body weight
exanthema;fever
exanthema;pruritus
exanthema;macule
exanthema;lesion
exanthema;redness
exanthema;headache
exanthema;apyrexial
exanthema;arthralgia
exanthema;swelling
exanthema;erythema
exanthema;photophobia
exanthema;chill
exanthema;scratch marks
exanthema;pain
exanthema;painful swallowing
acquired immuno-deficiency syndrome;fever
acquired immuno-deficiency syndrome;night sweat
acquired immuno-deficiency syndrome;spontaneous rupture of membranes
acquired immuno-deficiency syndrome;cough
acquired immuno-deficiency syndrome;
acquired immuno-deficiency syndrome;decreased body weight
acquired immuno-deficiency syndrome;chill
acquired immuno-deficiency syndrome;diarrhea
acquired immuno-deficiency syndrome;pleuritic pain
acquired immuno-deficiency syndrome;patient non compliance
acquired immuno-deficiency syndrome;tachypnea
acquired immuno-deficiency syndrome;productive cough
acquired immuno-deficiency syndrome;muscle hypotonia
acquired immuno-deficiency syndrome;hypotonic
acquired immuno-deficiency syndrome;feeling suicidal
osteoporosis;prostatism
osteoporosis;fall
osteoporosis;hirsutism
osteoporosis;sniffle
osteoporosis;distended abdomen
osteoporosis;vertigo
osteoporosis;numbness of hand
osteoporosis;bradykinesia
osteoporosis;pain
osteoporosis;syncope
osteoporosis;out of breath
osteoporosis;apyrexial
osteoporosis;urge incontinence
osteoporosis;lightheadedness
hepatitis;ascites
hepatitis;spontaneous rupture of membranes
hepatitis;tachypnea
hepatitis;pain abdominal
hepatitis;pruritus
hepatitis;anorexia
hepatitis;transaminitis
hepatitis;projectile vomiting
hepatitis;chill
hepatitis;distress respiratory
hepatitis;fever
hepatitis;vomiting
dehydration;fever
dehydration;diarrhea
dehydration;vomiting
dehydration;hypotension
dehydration;nausea
dehydration;lightheadedness
dehydration;unwell
dehydration;mental status changes
dehydration;anorexia
dehydration;asthenia
dehydration;sensory discomfort
dehydration;syncope
dehydration;lethargy
dehydration;dizziness
dehydration;blackout
dehydration;history of - blackout
lymphatic diseases;pain
lymphatic diseases;mass of body structure
lymphatic diseases;night sweat
lymphatic diseases;splenomegaly
lymphatic diseases;lesion
lymphatic diseases;chill
lymphatic diseases;decreased body weight
lymphatic diseases;swelling
lymphatic diseases;fever
lymphatic diseases;hyperacusis
lymphatic diseases;fremitus
lymphatic diseases;non-productive cough
lymphatic diseases;egophony
lymphatic diseases;redness
lymphatic diseases;hepatomegaly
lymphatic diseases;fatigue
sickle cell anemia;breakthrough pain
sickle cell anemia;pain back
sickle cell anemia;pain
sickle cell anemia;shortness of breath
sickle cell anemia;snuffle
sickle cell anemia;pain chest
sickle cell anemia;pain abdominal
sickle cell anemia;hepatosplenomegaly
sickle cell anemia;green sputum
sickle cell anemia;apyrexial
sickle cell anemia;headache
pancytopenia;hypoproteinemia
pancytopenia;fatigue
pancytopenia;haemorrhage
pancytopenia;fatigability
pancytopenia;cushingoid facies
pancytopenia;cushingoidã¯â¿â½habitus
pancytopenia;stool color yellow
pancytopenia;colic abdominal
coronary heart disease;pain chest
coronary heart disease;angina pectoris
coronary heart disease;shortness of breath
coronary heart disease;hypokinesia
coronary heart disease;sweat
coronary heart disease;sweating increased
coronary heart disease;pressure chest
coronary heart disease;dyspnea on exertion
coronary heart disease;orthopnea
coronary heart disease;chest tightness
thrombus;hypokinesia
thrombus;anorexia
thrombus;hypertonicity
thrombus;shortness of breath
thrombus;hypoalbuminemia
thrombus;pruritus
thrombus;sore to touch
thrombus;hemodynamically stable
thrombus;facial paresis
thrombus;vomiting
thrombus;stool color yellow
colitis;fever
colitis;thicken
colitis;green sputum
colitis;vomiting
colitis;nausea and vomiting
colitis;awakening early
colitis;pain
colitis;nausea
colitis;chill
colitis;tenesmus
colitis;urge incontinence
colitis;pain abdominal
colitis;hemodynamically stable
schizophrenia;hallucinations auditory
schizophrenia;hypersomnolence
schizophrenia;irritable mood
schizophrenia;verbal auditory hallucinations
schizophrenia;patient non compliance
schizophrenia;agitation
schizophrenia;suicidal
schizophrenia;worry
schizophrenia;hallucinations visual
schizophrenia;underweight
schizophrenia;homelessness
psychotic disorder;suicidal
psychotic disorder;hallucinations auditory
psychotic disorder;feeling suicidal
psychotic disorder;hallucinations visual
psychotic disorder;motor retardation
psychotic disorder;blackout
psychotic disorder;verbal auditory hallucinations
psychotic disorder;feeling hopeless
psychotic disorder;irritable mood
psychotic disorder;agitation
psychotic disorder;tremor
psychotic disorder;catatonia
psychotic disorder;weepiness
psychotic disorder;homelessness
psychotic disorder;sleeplessness
psychotic disorder;withdraw
psychotic disorder;energy increased
psychotic disorder;intoxication
psychotic disorder;worry
psychotic disorder;behavior hyperactive
psychotic disorder;patient non compliance
psychotic disorder;mood depressed
psychotic disorder;terrify
psychotic disorder;nightmare
psychotic disorder;consciousness clear
overload fluid;rale
overload fluid;jugular venous distention
overload fluid;hyperkalemia
overload fluid;orthopnea
overload fluid;shortness of breath
overload fluid;drowsiness
overload fluid;sleepy
overload fluid;weight gain
overload fluid;hypokalemia
overload fluid;hypotension
overload fluid;swelling
overload fluid;distended abdomen
paranoia;hallucinations auditory
paranoia;hallucinations visual
paranoia;agitation
paranoia;irritable mood
paranoia;verbal auditory hallucinations
paranoia;feeling suicidal
paranoia;suicidal
paranoia;terrify
paranoia;neologism
paranoia;homelessness
paranoia;energy increased
paranoia;mood depressed
paranoia;decompensation
paranoia;cicatrisation
paranoia;scar tissue
paranoia;blackout
paranoia;loose associations
encephalopathy;uncoordination
encephalopathy;asterixis
encephalopathy;haemorrhage
encephalopathy;drowsiness
encephalopathy;sleepy
encephalopathy;absences finding
encephalopathy;posturing
encephalopathy;aura
encephalopathy;tonic seizures
encephalopathy;debilitation
